job_id,company,role_title,location,sector,experience_level,employment_type,skills,technologies,description_summary,salary_if_available,application_source,category,application_date,source,raw_text
1,Al Watania Information Systems,Associate Consultant - SAP,Saudi Arabia,Consulting,Fresh graduate,,Communication,SAP,Al Watania Information Systems is seeking a proactive and detail-oriented Associate Consultant to join our team.,,LinkedIn,Consulting,,LinkedIn job application history PDF,"1. Associate Consultant - SAP Description Al Watania Information Systems is seeking a proactive and detail-oriented Associate Consultant to join our team. In this role, you will support the implementation and maintenance of SAP solutions to help our clients improve their business processes. You will work closely with senior consultants and project teams to deliver high-quality service and ensure successful project outcomes. This is an excellent opportunity for individuals aiming to build a strong foundation in SAP consulting within a professional environment. Key Responsibilities Assist with gathering and analyzing business and technical requirements. Support the configuration, testing, and deployment of SAP modules. Collaborate with clients and team members to resolve issues and implement enhancements. Prepare documentation, reports, and user manuals to support SAP solutions. Provide end-user training and ongoing support as needed. Stay current with SAP technologies and best practices. Requirements Bachelor’s degree in Computer Science, Information Systems, Business Administration, or related field. Fresh graduate or up to 1 year of experience Basic understanding of SAP modules and business processes. Strong analytical and problem-solving skills. Good communication and interpersonal skills for client interaction. Ability to work effectively both independently and in a team environment. Willingness to learn and adapt to new SAP technologies. SAP certification or relevant training is an advantage. Benefits High Category Medical Insurance coverage Exposure to high-impact, multi-industry client projects across Saudi Arabia Work within a dynamic and growing SAP practice Opportunities for professional development and career progression"
2,Bain & Company,Associate Consultant,Montreal; United States,Consulting,Entry level,Full-time,AI; Financial Modeling; Generative AI; Research,,"To view the Associate Consultant job description for our Montreal office, click here.","$112,000",LinkedIn,Consulting,,LinkedIn job application history PDF,"2. Associate Consultant Bain & Company Description & Requirements To view the Associate Consultant job description for our Montreal office, click here. Bain & Company is a global consultancy that helps the world’s most ambitious change makers define the future. We work with leading organizations across industries and geographies on their most critical challenges, delivering impact in strategy, operations, digital transformation, sustainability, mergers and acquisitions, and more. WHY BAIN Bain is a launchpad for your career, where you’ll work on the most interesting challenges alongside a bright and supportive peer group who will push your thinking, celebrate your progress, and grow with you. From day one, you’ll build a strong foundation and business toolkit, working across a wide range of industries and contributing to work that helps global clients, including senior executives and C-level leaders, address complex strategic issues and translate them into actionable plans. WHAT YOU’LL DO Associate Consultants are integral members of our consulting teams, working alongside teammates across levels on case teams embedded within client organizations, including many of the world’s leading companies. You’ll bring fresh thinking, structured problem solving, and a collaborative spirit to help solve high-impact business challenges. Here’s a snapshot of what you’ll do: Break down complex problems using hypothesis-led thinking and rigorous analysis to generate insights that shape strategic decisions Own discrete workstreams such as market sizing, financial modeling, scenario planning, or benchmarking to deliver clear, actionable recommendations Use data, tools, and digital platforms, which may include Bain’s proprietary platforms and emerging capabilities such as generative AI to support analysis and decision making Adapt and deliver by taking on varied responsibilities depending on the needs of each case, from research and analysis to implementation support HOW BAIN WILL SUPPORT YOU While the learning curve is steep and the work is challenging, you’ll be supported every step of the way through training, mentorship, and a culture that helps you thrive. You’ll learn from colleagues across regions, tapping into Bain’s global network of expertise, resources, and shared communities. Whether on a case, in training, or through firmwide initiatives, you’ll build meaningful relationships and expand your perspective. 3. ABOUT YOU: This role is ideal for final-year undergraduates, non-MBA master’s students, or early career professionals. Eligibility and application deadlines vary by office. Please refer to our office information for additional details. Associate consultant candidates typically meet the following qualifications: A university degree from a renowned academic institution Fluency in English, along with additional language requirements for the office you’re applying to Strong analytical skills and a curious mindset Clear written, verbal, and presentation skills Ability to manage multiple priorities and deadlines Collaborative, with the initiative to contribute ideas independently Willingness to travel and work onsite with clients and in the Bain office, sometimes in fast-paced and evolving environments If you’re ambitious and energized by working with exceptional people, Bain is an exciting place to launch and grow your career. COMPENSATION: For all locations, the good-faith, reasonable annualized full-time compensation for this role is commensurate with competitive geographic market rates. In some locations, compensation may vary based on several factors including, but not limited to, relevant experience, education, licensure/certifications, training, and skill level. Bain’s comprehensive benefits and wellness programs are designed to support your emotional, physical, and professional needs: Wellbeing: Health plans for employees and families that go beyond the basics to include mental, emotional, and behavioral health resources, counseling, assistance, and digital wellness tools Financial Security: Life, accident, disability, as well as tax efficient programs and retirement savings, where applicable, and extras through various expense and office policies Flexibility: Paid holidays, vacation, personal sick time, flexibility, and accommodation. Plus, flexible breaks and family leave policies Learning: A culture of mentorship across all roles, and full lifecycle career support, training, tuition, and planning Compensation for this role in the United States includes base salary, annual discretionary performance bonus, 401(k) plan with an annual employer contribution based on years of service, and Bain’s best in class benefits package (details listed above). The annualized base compensation for first-year Associate Consultants in the United States is $112,000. This role may also be eligible for other elements of discretionary compensation. It is unlawful in Massachusetts to require or administer a lie detector test as a condition of employment or continued employment. An employer who violates this law shall be subject to criminal penalties and civil liability."
4,SiFi,AI Engineer,,Fintech,,,AI; Cloud Infrastructure; Data Engineering; Prompt Engineering; RAG,RAG; LLMs,About Us SiFi is building the next-generation Office of the CFO — a corporate expense management platform that gives accounting teams seamless control over company spending.,,LinkedIn,AI Engineering,,LinkedIn job application history PDF,"4. SiFi AI Engineer About the job About Us SiFi is building the next-generation Office of the CFO — a corporate expense management platform that gives accounting teams seamless control over company spending. We let companies issue cards with precise spending restrictions, automate expense workflows, and close books faster. As we scale, AI is becoming core to how we deliver financial intelligence, automation, and trust to our customers. We are a small, high-ownership team. Everyone builds, everyone ships, and everyone is accountable for outcomes. About The Role We are looking for an AI Engineer to join our Data & AI team and help us bring AI-powered automation into the heart of corporate finance. You will work across the full stack — from LLM pipelines and agent workflows to the backend infrastructure and internal tooling that makes them production-ready. This is a hands-on, end-to-end role. You will own problems from prototype to production — in a domain where financial data is structured, high-stakes, and unforgiving. Getting it wrong has real consequences for real companies. You will work closely with Product, Engineering, Finance, and Operations to build AI features that make a direct impact on how hundreds of companies manage money. What You'll Do Design and ship AI-powered features end to end — from prompt engineering and model integration to backend APIs and frontend surfaces. Build and maintain AI infrastructure for LLM inference, retrieval-augmented generation (RAG), and structured data extraction from financial documents Develop autonomous agent workflows that automate finance operations such as expense categorization, receipt reconciliation, and policy enforcement Partner with the Data Engineering team to ensure AI systems are grounded in clean, trusted, and well-modeled financial data. Build internal tooling and evaluation frameworks to measure, monitor, and improve model performance in production. Stay close to the state of the art and bring relevant techniques — fine-tuning, tool use, multi-agent orchestration — into SiFi's stack where they create real value Requirements Strong engineering fundamentals across backend systems, APIs, and cloud infrastructure — you are comfortable owning the full lifecycle of a production AI feature. Hands-on experience building with LLMs in production, including prompt design, RAG pipelines, structured extraction, or Agentic systems Comfort working with financial or compliance-sensitive data, where correctness and audit ability matter A bias toward shipping — you move fast, make pragmatic trade offs, and iterate based on real-world feedback Low ego, high ownership: you are as comfortable debugging an edge case as you are proposing a new system architecture Nice to Have Familiarity with fin-tech or expense management domains Prior work at an early-stage startup or in a small, high-velocity team Benefits Why SiFi Work on AI problems that are genuinely hard: financial data is structured, high-stakes, and unforgiving — the opposite of toy problems Own meaningful surface area from day one on a lean team where your decisions shape the product. Competitive salary and equity Flexible working environment A front-row seat to building a category-defining fin-tech from the ground up"
5,Al Watania Information Systems (Wisys),AI Developer,,Technology,3 years' experience,,AI; API Development; Machine Learning; Prompt Engineering; RAG,Python; PyTorch; TensorFlow; RAG; Docker; SQL; OpenAI; Claude; Groq; Pandas; NumPy; MLflow; ONNX; Triton; TorchServe,AlWatania Information Systems is looking for a talented AI Developer to join our innovative team.,,LinkedIn,GenAI / LLM,,LinkedIn job application history PDF,"5. Al Watania Information Systems (Wisys) AI Developer About the job AlWatania Information Systems is looking for a talented AI Developer to join our innovative team. In this role, you will be responsible for designing and developing advanced AI solutions that empower our clients to leverage data for improved decision-making. You will work closely with data scientists and software engineers to create machine learning models, enhance existing algorithms, and deploy AI-driven applications that solve real-world problems. Your expertise in artificial intelligence and machine learning will be critical in driving our initiatives forward and helping us maintain a competitive edge. Requirements Key Responsibilities 3 years' experience in AI/ML delivery (production preferred) Strong Python + ML/DL frameworks (PyTorch/TensorFlow) Solid ML/DL fundamentals + evaluation metrics + data preprocessing LLM integration with Groq/OpenAI/Claude, building RAG, prompt engineering + guardrails SQL + Pandas/NumPy, API development (REST), Docker/CI-CD basics Nice to Have: Vector DBs, MLflow/W&B, ONNX/quantization, Triton/TorchServe, cloud/on-prem observability"
6,Confidential,AI Agent Engineer,,Technology,5 years of experience,,AI; Analytics; RAG; Software Engineering,Python; RAG; LangChain; LLMs; Docker; AWS; Azure; OpenAI,"AI Agent Engineer We are looking for a talented AI Agent Engineer to design, build, and scale intelligent AI agents within a dynamic enterprise environment.",,LinkedIn,GenAI / LLM,,LinkedIn job application history PDF,"6. Confidential About the job AI Agent Engineer We are looking for a talented AI Agent Engineer to design, build, and scale intelligent AI agents within a dynamic enterprise environment. You will play a key role in developing multi-agent systems, integrating AI capabilities with business data, and driving advanced automation and analytics solutions. Key Responsibilities Design, develop, and maintain intelligent AI agents and workflows Build scalable multi-agent systems for business and analytics use cases Integrate AI models (LLMs) with enterprise platforms and APIs Develop and optimize prompting strategies and AI pipelines (RAG, tool usage, etc.) Collaborate with cross-functional teams to translate business needs into AI solutions Monitor system performance, reliability, and cost efficiency Requirements Experience 3–5 years of experience in AI, software engineering, or related fields Hands-on experience building AI applications or LLM-based systems Technical Skills Strong proficiency in Python (required) Experience with AI frameworks such as LangChain, LangGraph, CrewAI, or similar Experience with cloud AI platforms such as AWS, Azure, or OpenAI Solid understanding of APIs, system integration, and data pipelines Familiarity with Docker, Git, and modern development practices Preferred Qualifications Experience with vector databases and RAG architectures Knowledge of data platforms and analytics tools Exposure to enterprise AI environments What We Offer Opportunity to work on cutting-edge AI technologies Exposure to enterprise-scale AI systems Collaborative and innovative work environment Professional growth and development opportunities"
7,Cognizant,Software Engineer,,Technology,,,Software Engineering,SQL,We are looking for fresh graduates with a bachelor's degree in Software Engineering or Computer Engineering.,,LinkedIn,Software Engineering,,LinkedIn job application history PDF,"7. Cognizant Software Engineer About the job We are looking for fresh graduates with a bachelor's degree in Software Engineering or Computer Engineering. The ideal candidate will be responsible for developing high ‑ quality applications, as well as designing and implementing testable and scalable code. Responsibilities Develop quality software and web applications Analyze and maintain existing software applications Design highly scalable, testable code Discover and fix programming bugs Qualifications Bachelor's degree in computer science Development experience with programming languages SQL database or relational database skills"
8,TestCrew | Quality Engineering & Software Testing,Artificial Intelligence Engineer,,Technology,,,AI; Machine Learning; Prompt Engineering; Research,Python; LangChain; LLMs; OpenAI,Job Summary We are looking for an AI Developer to build intelligent applications and AI-powered solutions that enhance business operations and user experiences.,,LinkedIn,GenAI / LLM,,LinkedIn job application history PDF,"8. TestCrew | Quality Engineering & Software Testing Artificial Intelligence Engineer About the job Job Summary We are looking for an AI Developer to build intelligent applications and AI-powered solutions that enhance business operations and user experiences. The ideal candidate will have experience developing AI integrations, conversational systems, machine learning workflows, and automation solutions using modern AI tools and frameworks. Key Responsibilities Design and develop AI-powered applications and services. Integrate AI models, LLMs, and conversational workflows into enterprise systems. Build APIs and backend services supporting AI integrations. Develop intelligent automation and data-processing solutions. Collaborate with engineering teams to integrate AI capabilities into products. Optimize AI workflows for scalability, reliability, and performance. Research and evaluate emerging AI technologies and frameworks. Required Skills Proficiency in Python or Java. Experience with AI/ML frameworks and APIs. Understanding of prompt engineering and AI workflows. Experience building backend APIs and distributed systems. Knowledge of cloud services and containerized deployments. Preferred Qualifications Experience with LLMs, vector databases, or AI agents. Familiarity with LangChain, OpenAI APIs, or Hugging Face. Knowledge of event-driven architectures and real-time systems"
9,aramco digital,Pre-Sales Engineer,,Technology,0+ years of experience,,Communication,,Overview: The Pre-Sales Engineer supports the development of technically sound and scalable solutions during the sales cycle.,,LinkedIn,Consulting,,LinkedIn job application history PDF,"9. aramco digital Pre-Sales Engineer About the job Overview: The Pre-Sales Engineer supports the development of technically sound and scalable solutions during the sales cycle. Working under the guidance of senior Pre-Sales Engineers and the Vertical Executive, the role assists in opportunity shaping, technical documentation, customer demonstrations, and solution validation. This role provides foundational exposure to customer engagement, solution architecture principles, and CTPO product and platform standards. Key Responsibilities: • Assist in translating customer requirements into structured technical inputs. • Support preparation of solution diagrams, architecture overviews, and documentation. • Document assumptions, dependencies, and solution boundaries. • Ensure alignment with CTPO platforms and approved standards under supervision. • Contributes to technical responses for RFPs and RFQs. • Assist in demos, Proof of Concepts (POCs), and technical workshops. • Collaborate with Sales, Delivery, and CTPO teams for solution validation. • Support documentation for smooth handover to Delivery post-award. • Maintain organized records of opportunity-related technical artifacts. • Support preparation of presentation materials and technical content. • Capture customer technical requirements and action items. • Support preparation of compliance matrices and supporting documentation. • Assist in basic solution sizing and effort estimation exercises Qualifications: Education: • Bachelor’s Degree in Computer Science, Engineering, Information Systems, or related field. Experience: • 0+ years of experience in technical sales, consulting, or solution support. Skills & Competencies: • Strong attention to detail • Good communication and presentation skills • Analytical thinking and structured approach • Ability to complete assigned tasks independently over time Requirements added by the job poster • Bachelor's Degree • Commute to this job’s location"
10,Jobgether,AI Research Engineer - Reinforcement Learning,Saudi Arabia; remote,Technology,,Remote,AI; Communication; Machine Learning; NLP; Research,PyTorch,This position is posted by Jobgether on behalf of a partner company.,,LinkedIn,Data Science,,LinkedIn job application history PDF,"10. Jobgether AI Research Engineer - Reinforcement Learning About the job This position is posted by Jobgether on behalf of a partner company. We are currently looking for an AI Research Engineer - Reinforcement Learning in Saudi Arabia. This is an exciting opportunity to work at the forefront of artificial intelligence research, developing advanced reinforcement learning systems designed for real-world applications. The role focuses on building intelligent, adaptive AI models capable of optimizing decision-making across dynamic and complex environments. As part of a globally distributed research team, you will contribute to cutting-edge experimentation involving large-scale reinforcement learning, multi-modal architectures, and resource-efficient AI systems. You will collaborate closely with researchers, engineers, and cross-functional teams to design, test, and deploy innovative RL algorithms that push the boundaries of model performance and scalability. The position combines deep technical research with hands-on implementation, making it ideal for professionals passionate about solving complex AI challenges. This role offers the opportunity to shape next-generation AI capabilities within a highly innovative, remote-first environment. Accountabilities Design, develop, and implement advanced reinforcement learning algorithms to optimize decision-making processes across simulated and real-world environments. Build, execute, monitor, and evaluate large-scale reinforcement learning experiments while tracking key performance indicators and benchmark results. Develop and curate high-quality simulation environments and training datasets tailored to domain-specific reinforcement learning challenges. Optimize reinforcement learning pipelines by identifying and resolving issues related to exploration strategies, policy divergence, reward signal instability, and computational efficiency. Improve policy performance, convergence stability, and sample efficiency through advanced optimization techniques and iterative experimentation. Collaborate with engineering and research teams to integrate reinforcement learning agents into production systems and real-world applications. Define measurable success metrics and continuously monitor deployed RL systems to ensure robustness, scalability, and sustained performance improvements. Contribute to ongoing AI research initiatives by exploring innovative RL methodologies, model architectures, and training frameworks. Document experimental findings, technical approaches, and research outcomes to support knowledge sharing and continuous innovation. Requirements Degree in Computer Science, Artificial Intelligence, Machine Learning, or a related field; PhD preferred. Strong research background in reinforcement learning, machine learning, NLP, or AI-related disciplines with proven contributions to advanced AI research initiatives. Hands-on experience conducting large-scale reinforcement learning experiments, including online RL methods such as Group Relative Policy Optimization (GRPO). Deep understanding of reinforcement learning concepts including policy gradients, actor-critic methods, GRPO, exploration-exploitation tradeoffs, and policy optimization techniques. Strong expertise in PyTorch and reinforcement learning frameworks, including experience building end-to-end RL pipelines. Experience developing, training, evaluating, and deploying reinforcement learning systems in production or large-scale research environments. Proven ability to solve complex RL challenges such as sample inefficiency, training instability, reward optimization, and convergence issues. Experience working with multi-modal AI systems and resource-efficient model architectures is considered a strong advantage. Strong analytical, problem-solving, and experimentation skills with a research-driven mindset. Excellent communication and collaboration abilities within distributed and cross-functional teams. Benefits Fully remote work environment with global collaboration opportunities. Opportunity to work on cutting-edge AI and reinforcement learning technologies. Exposure to advanced multi-modal architectures and large-scale AI research initiatives. Flexible and innovation-focused work culture that encourages experimentation and continuous learning. Collaboration with highly skilled international AI researchers and engineers. Opportunity to contribute to impactful AI systems with real-world applications. Career growth opportunities within a rapidly evolving global technology environment. Dynamic and fast-paced setting focused on innovation, research excellence, and technical ownership. How Jobgether Works We use an AI-powered matching process to ensure your application is reviewed quickly, objectively, and fairly against the role's core requirements. Our system identifies the top-fitting candidates, and this shortlist is then shared directly with the hiring company. The final decision and next steps (interviews, assessments) are managed by their internal team. We appreciate your interest and wish you the best! Why Apply Through Jobgether? Data Privacy Notice: By submitting your application, you acknowledge that Jobgether will process your personal data to evaluate your candidacy and share relevant information with the hiring employer. This processing is based on legitimate interest and pre-contractual measures under applicable data protection laws (including GDPR). You may exercise your rights (access, rectification, erasure, objection) at any time. We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us."
11,Al Watania Information Systems (Wisys),Associate Consultant - SAP,Saudi Arabia,Consulting,Fresh graduate,,Communication,SAP,Al Watania Information Systems is seeking a proactive and detail-oriented Associate Consultant to join our team.,,LinkedIn,Consulting,,LinkedIn job application history PDF,"11. Al Watania Information Systems (Wisys). Associate Consultant - SAP About the job Al Watania Information Systems is seeking a proactive and detail-oriented Associate Consultant to join our team. In this role, you will support the implementation and maintenance of SAP solutions to help our clients improve their business processes. You will work closely with senior consultants and project teams to deliver high-quality service and ensure successful project outcomes. This is an excellent opportunity for individuals aiming to build a strong foundation in SAP consulting within a professional environment. Key Responsibilities Assist with gathering and analyzing business and technical requirements Support the configuration, testing, and deployment of SAP modules Collaborate with clients and team members to resolve issues and implement enhancements Prepare documentation, reports, and user manuals to support SAP solutions Provide end-user training and ongoing support as needed Stay current with SAP technologies and best practices Requirements Bachelor's degree in Computer Science, Information Systems, Business Administration, or related field Fresh graduate or up to 1 year of experience Basic understanding of SAP modules and business processes Strong analytical and problem-solving skills Good communication and interpersonal skills for client interaction Ability to work effectively both independently and in a team environment Willingness to learn and adapt to new SAP technologies SAP certification or relevant training is an advantage Benefits High Category Medical Insurance coverage Exposure to high-impact, multi-industry client projects across Saudi Arabia Work within a dynamic and growing SAP practice Opportunities for professional development and career progression"
