"company","Count"
"Tata Consultancy Services","6"
"Lucidya | ﻟوﺳﯾدﯾﺎ","3"
"Müller's Solutions","2"
"UMATR Applied AI/","2"
"Confidential Government","2"
"Klanik","2"
"Confidential","2"
"HungerStation | ھﻧﻘرﺳﺗﯾﺷن","2"
"TestCrew | Quality Engineering & Software Testing","2"
"TAWANTECH Junior","1"
"Confidential Government Data Collection & Quality Management Analyst","1"
"Tangent International 🚀 AI & Data Architect - LLM + Big Data (Digital Transformation)","1"
"Master Works Data Scienist","1"
"Abyan Capital","1"
"Al-Qadsiah Saudi Club ﻧﺎدي اﻟﻘﺎدﺳﯾﺔ اﻟﺳﻌودي Application Developer & Designer","1"
"Master Works LLM Engineers","1"
"NXS Tech Ltd","1"
"Confidential Government Researcher","1"
"TAWANTECH Artificial Intelligence (AI) Engineer","1"
"Keeta","1"
"DATA Artificial Intelligence Programmer","1"
"NOVOTAK Softwarev Engineer","1"
"NSG Geospatial Services","1"
"MIDWAM AI & Computer Vision Developer (Creative AI Integration)","1"
"Exotech Co (AI) Artificial Intelligence","1"
"Tamara","1"
"Multimedia AI Expert / AI Solutions Engineer","1"
"aramco digital Corporate Strategy Analyst","1"
"Diyar United Company","1"
"Systems Arabia","1"
"Huxley GenAI Specialist","1"
"HALA","1"
"Infinite pl 2026 KSA Analyst Program - Data & AI Analyst","1"
"Knight Frank MENA Saudi","1"
"Sanad Connect Artificial Intelligence Solutions","1"
"Tata Consultancy Services Gen AI","1"
"RER | اﻟﺳﺟل اﻟﻌﻘﺎري SAED GDP","1"
"Al Watania Information Systems (Wisys).","1"
"Al Watania Information Systems (Wisys)","1"
"SiFi","1"
"Bain & Company","1"
"Jobgether","1"
"aramco digital","1"
"Cognizant","1"
"Strategic Gears Analyst","1"
"Whiteshield Whiteshield","1"
"Master Works SDE-1 Computer Vision, Engineer","1"
"Müller's Solutions AI /","1"
"SALIC Risk Trainee (GDP)","1"
"Confidential Government AI &","1"
"Ebra | إﺑراء QA Engineer","1"
"SAB Invest Alawael Graduate Development Program 2026","1"
"Hire Feed","1"
"Sanad Connect","1"
"Ninja 󰵈 ﻧﯾﻧﺟﺎ","1"
"UMATR Lead","1"
"Master Works Machine Learning &","1"
