job_number,location
1,Saudi Arabia
2,Montreal
2,United States
3,Not specified
4,Not specified
5,Not specified
6,Not specified
7,Not specified
8,Not specified
9,Remote
9,Saudi Arabia
10,Saudi Arabia
11,Saudi Arabia
12,Dhahran
12,Hybrid
12,Saudi Arabia
13,Saudi Arabia
14,Hybrid
14,Remote
14,Saudi Arabia
15,Not specified
16,Dhahran
16,Saudi Arabia
17,Jeddah
18,Jeddah
18,Saudi Arabia
19,Not specified
20,Not specified
21,Saudi Arabia
22,Not specified
23,Not specified
24,Not specified
25,Not specified
26,Not specified
27,Dhahran
27,Hybrid
27,Saudi Arabia
28,Dhahran
28,Saudi Arabia
29,Not specified
30,Not specified
31,Not specified
32,Not specified
33,Not specified
34,Dhahran
34,Saudi Arabia
35,Not specified
36,Not specified
37,Riyadh
37,Saudi Arabia
38,Not specified
39,Not specified
40,Riyadh
41,Not specified
42,Not specified
43,Hybrid
44,Not specified
45,Not specified
46,Not specified
47,Not specified
48,Dammam
48,Saudi Arabia
49,Not specified
50,Not specified
51,Not specified
52,Riyadh
52,Saudi Arabia
53,Riyadh
54,Not specified
55,Not specified
56,Not specified
57,Dhahran
57,Saudi Arabia
58,Dhahran
58,Hybrid
58,Saudi Arabia
59,Dhahran
59,Saudi Arabia
60,Saudi Arabia
61,Not specified
62,Jeddah
62,On-site
62,Saudi Arabia
63,Dammam
63,Saudi Arabia
64,Not specified
65,Not specified
66,Saudi Arabia
67,Not specified
68,Remote
69,Not specified
70,Not specified
71,On-site
71,Riyadh
72,On-site
72,Riyadh
72,Saudi Arabia
