job_number,raw_title,company,role_title,category,sector,location,seniority_level,experience_required,salary_if_available,skills_tools_count,has_salary,has_location
1,Associate Consultant - SAP,Associate Consultant - SAP,Associate Consultant - SAP,Consulting,Consulting,Saudi Arabia,Entry / Fresh Graduate,Fresh graduate,,1,False,True
2,Associate Consultant Bain & Company,Bain & Company,Associate Consultant,Consulting,Consulting,Montreal; United States,Entry / Fresh Graduate,Entry level,"$112,000",3,True,True
3,SiFi AI Engineer,SiFi,AI Engineer,Software Engineering,Technology,Not specified,Not specified,,,5,False,False
4,Al Watania Information Systems (Wisys) AI Developer,Al Watania Information Systems (Wisys),AI Developer,GenAI / LLM,Technology,Not specified,Mid Level,3 years' experience,,11,False,False
5,Confidential,Confidential,AI Agent Engineer,GenAI / LLM,Technology,Not specified,Senior,5 years of experience,,8,False,False
6,Cognizant Software Engineer,Cognizant,Software Engineer,Software Engineering,Technology,Not specified,Not specified,,,1,False,False
7,TestCrew | Quality Engineering & Software Testing Artificial Intelligence Engineer,TestCrew | Quality Engineering & Software Testing,Artificial Intelligence Engineer,GenAI / LLM,Technology,Not specified,Not specified,,,7,False,False
8,aramco digital Pre-Sales Engineer,aramco digital,Pre-Sales Engineer,Consulting,Technology,Not specified,Entry / Fresh Graduate,0+ years of experience,,0,False,False
9,Jobgether AI Research Engineer - Reinforcement Learning,Jobgether,AI Research Engineer - Reinforcement Learning,Data Science,Technology,Remote; Saudi Arabia,Not specified,,,5,False,True
10,Al Watania Information Systems (Wisys). Associate Consultant - SAP,Al Watania Information Systems (Wisys).,Associate Consultant - SAP,Consulting,Consulting,Saudi Arabia,Entry / Fresh Graduate,Fresh graduate,,1,False,True
11,Knight Frank MENA Saudi Graduate Programme,Knight Frank MENA Saudi,Graduate Programme,Consulting,Technology,Saudi Arabia,Internship,Internship,,1,False,True
12,Tata Consultancy Services Gen AI Engineer,Tata Consultancy Services,Gen AI Engineer,GenAI / LLM,Technology,Dhahran; Hybrid; Saudi Arabia,Not specified,,,9,False,True
13,Infinite pl 2026 KSA Analyst Program - Data & AI Analyst,Infinite pl 2026 KSA Analyst Program - Data & AI Analyst,process,Data Science,Technology,Saudi Arabia,Not specified,,,8,False,True
14,HALA AI Engineer (All Levels),HALA,AI Engineer,Fintech,Technology,Hybrid; Remote; Saudi Arabia,Senior,5 years of experience,,13,False,True
15,RER | اﻟﺳﺟل اﻟﻌﻘﺎري SAED GDP,RER | اﻟﺳﺟل اﻟﻌﻘﺎري SAED GDP,RER | اﻟﺳﺟل اﻟﻌﻘﺎري SAED GDP,GDP,Real Estate,Not specified,Entry / Fresh Graduate,Fresh Graduate,,0,False,False
16,Tata Consultancy Services Gen AI Data Scientist,Tata Consultancy Services Gen AI,Data Scientist,Data Science,Technology,Dhahran; Saudi Arabia,Not specified,,,9,False,True
17,Sanad Connect Artificial Intelligence Solutions Consultant,Sanad Connect Artificial Intelligence Solutions,Consultant,Consulting,Consulting,Jeddah,Senior,Senior,,1,False,True
18,Sanad Connect Artificial Intelligence Engineer,Sanad Connect,Artificial Intelligence Engineer,Data Science,Technology,Jeddah; Saudi Arabia,Not specified,,,6,False,True
19,Hire Feed Software Engineer,Hire Feed,Software Engineer,Software Engineering,Technology,Not specified,Not specified,,,4,False,False
20,SAB Invest Alawael Graduate Development Program 2026,SAB Invest Alawael Graduate Development Program 2026,SAB Invest Alawael Graduate Development Program 2026,Consulting,Fintech,Not specified,Mid Level,Mid level,,0,False,False
21,Master Works Machine Learning & AI Engineer - Immediate Hiring,Master Works Machine Learning &,AI Engineer,AI Engineering,Technology,Saudi Arabia,Mid Level,4+ years of experience,,7,False,True
22,UMATR Lead AI Engineer (Saudi National's),UMATR Lead,AI Engineer,AI Engineering,Technology,Not specified,Senior,Senior,,8,False,False
23,Ninja 󰵈 ﻧﯾﻧﺟﺎ Business Intelligence Analyst,Ninja 󰵈 ﻧﯾﻧﺟﺎ,Business Intelligence Analyst,Business Intelligence,Technology,Not specified,Junior / Early Career,2+ years of experience,,7,False,False
24,Ebra | إﺑراء QA Engineer,Ebra | إﺑراء QA Engineer,QA Engineer,Software Engineering,Technology,Not specified,Not specified,,,1,False,False
25,"Master Works SDE-1 Computer Vision, Engineer","Master Works SDE-1 Computer Vision, Engineer",SDE-1 (Computer Vision Engineer) professional,Computer Vision,Technology,Not specified,Not specified,,,11,False,False
26,UMATR Applied AI/ML Engineer - Gaming (Saudi National's),UMATR Applied AI/,ML Engineer,AI Engineering,Technology,Not specified,Not specified,,,16,False,False
27,Tata Consultancy Services Gen AI Engineer,Tata Consultancy Services,Gen AI Engineer,GenAI / LLM,Technology,Dhahran; Hybrid; Saudi Arabia,Not specified,,,9,False,True
28,Tata Consultancy Services Data Scientist – Computer Vision Engineer,Tata Consultancy Services,Data Scientist,Data Science,Technology,Dhahran; Saudi Arabia,Not specified,,,6,False,True
29,Whiteshield Whiteshield Data Scientist - AI Economics Unit,Whiteshield Whiteshield,Data Scientist,Data Science,Government,Not specified,Senior,Senior,,3,False,False
30,Strategic Gears Analyst,Strategic Gears Analyst,Strategic Gears Analyst,Consulting,Fintech,Not specified,Not specified,,,0,False,False
31,Confidential Government AI & Machine Learning Engineer,Confidential Government AI &,Machine Learning Engineer,AI Engineering,Technology,Not specified,Not specified,,,7,False,False
32,SALIC Risk Trainee (GDP),SALIC Risk Trainee (GDP),SALIC Risk Trainee (GDP),GDP,Fintech,Not specified,Not specified,,,0,False,False
33,Müller's Solutions AI / Computer Vision ENGINEER,Müller's Solutions AI /,Computer Vision ENGINEER,Computer Vision,Technology,Not specified,Not specified,,,4,False,False
34,Huxley GenAI Specialist,Huxley GenAI Specialist,Huxley GenAI Specialist,GenAI / LLM,Technology,Dhahran; Saudi Arabia,Mid Level,Mid level,,9,False,True
